13000_sock0,13000_sock1,10000_sock0,10000_sock1,7000_sock0,7000_sock1
   58.30, 9478.56,,,,
   83.81,11416.81,,,,
   44.94, 9491.61,,,,
   43.18,12666.60,,,,
  144.25,12286.17,,,,
   93.24,10523.22,,,,
  111.81,10502.33,,,,
   82.67, 8950.23,,,,
   66.55,10072.19,,,,
   61.73,10603.87,,,,
   59.40,10145.19,,,,
   99.96, 9794.00,,,,
   95.27, 9563.29,,,,
   96.09,10077.06,,,,
  133.24, 9349.17,,,,
  173.00, 9702.46,,,,
  256.06,10921.12,,,,
   53.42, 9768.12,,,,
   69.69,10997.45,,,,
  103.70,10109.55,,,,
  122.31, 9599.65,,,,
   72.23,11357.84,,,,
   53.90,11046.15,,,,
  219.27, 9969.98,,,,
  114.67, 9806.42,,,,
  146.79, 9176.18,,,,
  132.62,11733.88,,,,
  105.29,12174.27,,,,
   97.58,10522.60,,,,
   80.53, 9229.28,,,,
   80.03,10137.62,,,,
  256.10,11573.37,,,,
   85.34,11560.25,,,,
   75.94,12432.49,,,,
  103.50,11187.49,,,,
  134.52,10656.34,,,,
   61.05,11877.93,,,,
   49.73,12650.49,,,,
  259.67,13352.18,,,,
   74.23,12405.90,,,,
   70.67,12390.12,,,,
   50.35,11266.49,,,,
   48.18,10529.24,,,,
   55.33,13284.51,,,,
   66.13,13554.55,,,,
  173.10,12891.29,,,,
  100.17,10189.95,,,,
  183.48,10467.11,,,,
   98.59,11345.84,,,,
   74.37,11762.02,,,,
   55.09, 9499.47,,,,
   93.59,10378.35,,,,
   63.72, 9677.74,,,,
  104.34, 9795.15,,,,
   79.62,11959.61,,,,
  182.00,12825.90,,,,
   55.60,13732.84,,,,
   60.80,12287.87,,,,
   99.70,11543.64,,,,
   57.94,11505.28,,,,
  156.46, 9388.59,,,,
   71.91,10937.76,,,,
  215.35,11447.44,,,,
   55.23, 9602.41,,,,
   74.55,10281.42,,,,
  334.91,10649.71,,,,
  159.27,10154.39,,,,
   69.91,10551.31,,,,
   73.72,11504.89,,,,
   73.68,10208.07,,,,
   42.81, 9455.75,,,,
   84.18,10163.75,,,,
   52.35,11332.33,,,,
  118.11,12605.67,,,,
   88.52,11036.75,,,,
  102.48,10818.65,,,,
  127.34,10952.58,,,,
  132.60,12282.63,,,,
  124.21,11664.99,,,,
   97.38,11301.39,,,,
  104.94,12241.50,,,,
   65.99,12268.69,,,,
   52.77,11616.17,,,,
   90.65,10935.88,,,,
   81.29, 9888.04,,,,
   93.73,10530.60,,,,
  149.92,11344.27,,,,
   83.28,11949.64,,,,
   67.78,10674.12,,,,
   62.45,10483.11,,,,
   78.73, 9129.70,,,,
   82.12,11859.61,,,,
   62.68,11844.56,,,,
   87.12,10318.16,,,,
   66.84,10899.20,,,,
   76.90,10660.05,,,,
  122.29,10347.66,,,,
   57.06,11674.95,,,,
  109.33,12333.28,,,,
   59.80,11867.20,,,,
   60.77,11842.17,,,,
   49.36,11012.64,,,,
   46.15,11932.09,,,,
   46.85,11808.03,,,,
   76.14, 9826.67,,,,
   99.98, 9230.58,,,,
  136.74, 8118.31,,,,
   74.93, 8529.06,,,,
   81.83, 9010.11,,,,
   70.02, 9096.75,,,,
   67.97, 9478.73,,,,
  151.32, 9365.66,,,,
  102.76,11247.54,,,,
   81.50, 9878.11,,,,
   84.92,10540.62,,,,
  309.56,12697.01,,,,
  135.25,12286.56,,,,
   72.47,10431.86,,,,
   97.63, 9695.58,,,,
   62.91,10892.80,,,,
   81.42,10413.58,,,,
   56.48,11006.72,,,,
  111.92,12812.28,,,,
   76.64,11416.27,,,,
   99.68,11037.28,,,,
  158.24,10851.56,,,,
  158.44,12725.10,,,,
  148.26,10788.76,,,,
  127.93,11495.10,,,,
   74.97,10434.14,,,,
   92.84,10335.03,,,,
   73.39, 9732.38,,,,
   77.84, 8957.73,,,,
   81.09,11248.58,,,,
  189.49,11031.99,,,,
   82.22,11503.72,,,,
   51.65,10698.53,,,,
  135.04,10348.83,,,,
  108.41, 9943.29,,,,
   69.32,11080.00,,,,
   52.72,10789.48,,,,
   44.89, 9556.71,,,,
